 ,Area,X,Y,Perim.,Circ.,AR,Round,Solidity
1,1,0.500,0.500,2.828,1.000,1.000,1.000,1.000
2,4,100.500,0.750,7.071,1.000,1.468,0.681,0.800
3,12,177.500,0.917,15.071,0.664,3.156,0.317,0.923
4,10,186.000,1.300,10.485,1.000,1.327,0.753,0.909
5,14,209.143,2.500,13.314,0.993,1.604,0.623,0.848
6,8,244.000,1.000,9.657,1.000,2.000,0.500,1.000
7,34,273.882,4.294,26.971,0.587,2.441,0.410,0.687
8,1,279.500,0.500,2.828,1.000,1.000,1.000,1.000
9,1,282.500,0.500,2.828,1.000,1.000,1.000,1.000
10,5,333.100,0.700,9.071,0.764,2.188,0.457,0.769
11,1,405.500,0.500,2.828,1.000,1.000,1.000,1.000
12,11,87.227,2.318,11.899,0.976,1.619,0.618,0.846
13,17,27.088,4.265,14.728,0.985,1.194,0.838,0.850
14,51,262.539,6.618,29.799,0.722,1.724,0.580,0.810
15,9,194.611,4.833,10.485,1.000,1.340,0.746,0.857
16,2,332.000,4.500,4.243,1.000,2.000,0.500,1.000
17,14,337.643,10.000,13.314,0.993,1.344,0.744,0.824
18,4,235.000,10.000,5.657,1.000,1.000,1.000,1.000
19,25,312.740,12.540,17.314,1.000,1.293,0.773,0.926
20,31,348.242,13.694,20.385,0.937,1.206,0.829,0.838
21,1,176.500,12.500,2.828,1.000,1.000,1.000,1.000
22,2,195.000,12.500,4.243,1.000,2.000,0.500,1.000
23,6,207.500,13.000,7.657,1.000,1.500,0.667,1.000
24,17,267.971,14.382,14.485,1.000,1.385,0.722,0.919
25,1,272.500,12.500,2.828,1.000,1.000,1.000,1.000
26,64,10.047,19.469,28.385,0.998,1.201,0.833,0.921
27,14,174.000,16.000,12.485,1.000,1.319,0.758,0.933
28,8,296.250,16.125,10.485,0.914,1.605,0.623,0.800
29,14,394.357,16.857,13.899,0.911,1.332,0.751,0.848
30,1,95.500,15.500,2.828,1.000,1.000,1.000,1.000
31,4,43.000,17.000,5.657,1.000,1.000,1.000,1.000
32,14,142.429,17.857,13.314,0.993,1.184,0.845,0.824
33,6,210.000,17.500,7.657,1.000,1.500,0.667,1.000
34,17,288.441,18.735,14.728,0.985,1.288,0.776,0.829
35,14,332.500,17.929,13.314,0.993,1.017,0.983,0.824
36,2,31.500,18.000,4.828,1.000,2.000,0.500,1.000
37,1,76.500,17.500,2.828,1.000,1.000,1.000,1.000
38,19,279.605,19.921,15.071,1.000,1.273,0.785,0.974
39,27,309.019,21.093,18.142,1.000,1.316,0.760,0.885
40,1,80.500,19.500,2.828,1.000,1.000,1.000,1.000
41,10,225.800,20.600,11.899,0.887,1.921,0.521,0.800
42,25,167.380,23.700,18.142,0.954,1.704,0.587,0.893
43,5,95.300,22.900,7.071,1.000,1.553,0.644,0.909
44,1,181.500,22.500,2.828,1.000,1.000,1.000,1.000
45,15,397.033,24.367,13.314,1.000,1.127,0.887,0.857
46,20,17.900,26.100,17.314,0.838,1.683,0.594,0.851
47,58,37.862,30.534,42.770,0.398,1.968,0.508,0.627
48,43,374.895,27.872,24.142,0.927,1.375,0.727,0.905
49,10,144.700,26.500,10.485,1.000,1.236,0.809,0.909
50,10,173.700,26.500,10.485,1.000,1.236,0.809,0.909
51,16,242.500,28.000,13.314,1.000,1.209,0.827,0.889
52,28,357.679,29.214,19.556,0.920,1.506,0.664,0.848
53,3,363.500,29.500,6.828,0.809,3.000,0.333,1.000
54,7,388.500,29.214,9.071,1.000,1.069,0.936,0.875
55,10,299.200,31.000,11.899,0.887,1.643,0.608,0.800
56,2,28.500,32.000,4.828,1.000,2.000,0.500,1.000
57,31,124.403,33.242,20.728,0.907,1.621,0.617,0.899
58,1,141.500,31.500,2.828,1.000,1.000,1.000,1.000
59,9,175.611,33.944,10.485,1.000,1.817,0.550,0.857
